test	taille	tri	tableau	exe	exectime	memory
100	4911000	insertion	croissant	nonOpti	0.16 39580
97	9979000	insertion	croissant	opti	0.27 79136
79	30930000	insertion	croissant	nonOpti	1.04 242872
97	9979000	insertion	croissant	nonOpti	0.34 79100
96	14230000	insertion	croissant	opti	0.38 112380
81	30386000	insertion	croissant	nonOpti	1.04 238504
103	7297000	insertion	croissant	opti	0.20 58236
95	21060000	insertion	croissant	nonOpti	0.71 165664
103	7297000	insertion	croissant	nonOpti	0.24 58144
90	26567000	insertion	croissant	opti	0.72 208740
91	25363000	insertion	croissant	opti	0.71 199376
96	14230000	insertion	croissant	nonOpti	0.47 112352
95	21060000	insertion	croissant	opti	0.58 165748
104	8790000	insertion	croissant	opti	0.21 69888
94	24086000	insertion	croissant	opti	0.67 189408
91	25363000	insertion	croissant	nonOpti	0.86 199332
104	8790000	insertion	croissant	nonOpti	0.31 69916
89	31739000	insertion	croissant	opti	0.89 249148
94	24086000	insertion	croissant	nonOpti	0.81 189416
90	26567000	insertion	croissant	nonOpti	0.91 208784
101	17679000	insertion	croissant	opti	0.50 139232
99	22233000	insertion	croissant	opti	0.60 174912
106	14834000	insertion	croissant	opti	0.41 117120
101	17679000	insertion	croissant	nonOpti	0.58 139352
89	31739000	insertion	croissant	nonOpti	1.09 249176
106	14834000	insertion	croissant	nonOpti	0.52 117080
99	22233000	insertion	croissant	nonOpti	0.79 174840
109	15805000	insertion	croissant	opti	0.42 124692
108	18376000	insertion	croissant	opti	0.49 144692
115	7389000	insertion	croissant	opti	0.18 58952
98	31014000	insertion	croissant	opti	0.84 243484
115	7389000	insertion	croissant	nonOpti	0.24 58872
109	15805000	insertion	croissant	nonOpti	0.55 124664
105	24494000	insertion	croissant	opti	0.66 192532
108	18376000	insertion	croissant	nonOpti	0.62 144672
118	9247000	insertion	croissant	opti	0.25 73356
98	31014000	insertion	croissant	nonOpti	1.05 243532
105	24494000	insertion	croissant	nonOpti	0.82 192472
118	9247000	insertion	croissant	nonOpti	0.30 73456
117	11672000	insertion	croissant	opti	0.32 92432
117	11672000	insertion	croissant	nonOpti	0.41 92372
119	10659000	insertion	croissant	opti	0.31 84488
119	10659000	insertion	croissant	nonOpti	0.36 84484
112	22024000	insertion	croissant	opti	0.62 173292
114	20627000	insertion	croissant	opti	0.57 162336
107	30304000	insertion	croissant	opti	0.85 237924
121	11325000	insertion	croissant	opti	0.30 89620
110	28232000	insertion	croissant	opti	0.77 221696
122	9909000	insertion	croissant	opti	0.26 78628
116	19483000	insertion	croissant	opti	0.54 153452
126	3756000	insertion	croissant	nonOpti	0.12 30476
112	22024000	insertion	croissant	nonOpti	0.75 173208
126	3756000	insertion	croissant	opti	0.11 30584
107	30304000	insertion	croissant	nonOpti	1.04 237988
121	11325000	insertion	croissant	nonOpti	0.40 89652
122	9909000	insertion	croissant	nonOpti	0.34 78604
114	20627000	insertion	croissant	nonOpti	0.68 162384
116	19483000	insertion	croissant	nonOpti	0.62 153424
113	28146000	insertion	croissant	opti	0.78 221072
128	4138000	insertion	croissant	nonOpti	0.14 33560
128	4138000	insertion	croissant	opti	0.11 33468
110	28232000	insertion	croissant	nonOpti	0.96 221788
127	6782000	insertion	croissant	opti	0.18 54160
129	3886000	insertion	croissant	nonOpti	0.13 31644
129	3886000	insertion	croissant	opti	0.11 31544
111	32581000	insertion	croissant	opti	0.95 255728
127	6782000	insertion	croissant	nonOpti	0.24 54172
120	22684000	insertion	croissant	opti	0.63 178392
113	28146000	insertion	croissant	nonOpti	0.96 221000
111	32581000	insertion	croissant	nonOpti	1.15 255684
125	16874000	insertion	croissant	opti	0.46 133044
135	1547000	insertion	croissant	nonOpti	0.05 13300
120	22684000	insertion	croissant	nonOpti	0.75 178444
135	1547000	insertion	croissant	opti	0.04 13312
125	16874000	insertion	croissant	nonOpti	0.57 133072
134	5310000	insertion	croissant	opti	0.15 42700
134	5310000	insertion	croissant	nonOpti	0.18 42696
136	3708000	insertion	croissant	opti	0.10 30184
136	3708000	insertion	croissant	nonOpti	0.13 30116
123	22855000	insertion	croissant	opti	0.63 179780
137	4706000	insertion	croissant	opti	0.13 38012
137	4706000	insertion	croissant	nonOpti	0.16 37908
123	22855000	insertion	croissant	nonOpti	0.76 179688
124	26660000	insertion	croissant	opti	0.73 209496
132	16646000	insertion	croissant	opti	0.46 131332
133	17927000	insertion	croissant	opti	0.48 141336
124	26660000	insertion	croissant	nonOpti	0.92 209468
139	8384000	insertion	croissant	nonOpti	0.29 66676
139	8384000	insertion	croissant	opti	0.24 66744
130	21642000	insertion	croissant	opti	0.61 170316
133	17927000	insertion	croissant	nonOpti	0.61 141268
132	16646000	insertion	croissant	nonOpti	0.57 131272
130	21642000	insertion	croissant	nonOpti	0.73 170264
