test	taille	exe	exectime	memory	mmm
80	2473	fus	0.00 1296	1		
80	2473	ins	0.00 1252	1		
80	2473	rap	0.01 1352		1	
81	29287	fus	0.00 1696	1		
81	29287	ins	0.00 1468			1
81	29287	rap	1.76 3296		1	
82	3917	fus	0.00 1372	1		
82	3917	ins	0.00 1256			1
82	3917	rap	0.03 1468		1	
83	25068	ins	0.00 1476			1
83	25068	fus	0.00 1684	1		
83	25068	rap	1.28 3048		1	
84	1807	fus	0.00 1332	1		
84	1807	ins	0.00 1192	1		
84	1807	rap	0.00 1296		1	
85	16123	ins	0.00 1304			1
85	16123	fus	0.00 1536	1		
85	16123	rap	0.54 2380		1	
86	7353	ins	0.00 1292	1		
86	7353	fus	0.00 1400	1		
86	7353	rap	0.11 1780		1	
87	24796	ins	0.00 1380			1
87	24796	fus	0.00 1624	1		
87	24796	rap	1.26 3028		1	
88	23421	ins	0.00 1456			1
88	23421	fus	0.00 1620	1		
88	23421	rap	1.13 2896		1	
89	6037	fus	0.00 1348	1		
89	6037	ins	0.00 1232	1		
89	6037	rap	0.07 1672		1	
90	24858	fus	0.00 1744			1
90	24858	ins	0.00 1380			1
90	24858	rap	1.27 2980		1	
91	13175	ins	0.00 1376			1
91	13175	fus	0.00 1484	1		
91	13175	rap	0.36 2108		1	
92	30603	fus	0.00 1740	1		
92	30603	ins	0.00 1508			1
92	30603	rap	1.95 3408		1	
93	9026	fus	0.00 1396			1
93	9026	ins	0.00 1344			1
93	9026	rap	0.16 1804		1	
94	362	fus	0.00 1284		1	
94	362	rap	0.00 1308		1	
94	362	ins	0.00 1300		1	
95	2108	ins	0.00 1196	1		
95	2108	fus	0.00 1292	1		
95	2108	rap	0.00 1424		1	
96	26886	ins	0.00 1492	1		
96	26886	fus	0.00 1712	1		
96	26886	rap	1.48 3184		1	
97	24107	ins	0.00 1444			1
97	24107	fus	0.00 1656			1
97	24107	rap	1.20 2992		1	
98	2047	ins	0.00 1216	1		
98	2047	fus	0.00 1348	1		
98	2047	rap	0.00 1316		1	
99	20847	ins	0.00 1448			1
99	20847	fus	0.00 1600	1		
99	20847	rap	0.89 2744		1	
100	1676	fus	0.00 1336	1		
100	1676	ins	0.00 1212	1		
100	1676	rap	0.00 1376		1	
101	1812	ins	0.00 1212	1		
101	1812	fus	0.00 1336	1		
101	1812	rap	0.00 1304		1	
102	30469	ins	0.00 1496			1
102	30469	fus	0.00 1660	1		
102	30469	rap	1.93 3336		1	
103	13234	fus	0.00 1464	1		
103	13234	ins	0.00 1384			1
103	13234	rap	0.36 2200		1	
104	7737	ins	0.00 1240	1		
104	7737	fus	0.00 1436	1		
104	7737	rap	0.13 1836		1	
105	26533	fus	0.00 1724			1
105	26533	ins	0.00 1484			1
105	26533	rap	1.47 3144		1	
106	23591	ins	0.00 1472	1		
106	23591	fus	0.00 1560	1		
106	23591	rap	1.13 2836		1	
107	15719	ins	0.00 1412			1
107	15719	fus	0.00 1552	1		
107	15719	rap	0.50 2304		1	
108	4633	ins	0.00 1316	1		
108	4633	fus	0.00 1428	1		
108	4633	rap	0.04 1580		1	
109	25859	ins	0.00 1388	1		
109	25859	fus	0.00 1680	1		
109	25859	rap	1.37 3016		1	
110	19521	ins	0.00 1452			1
110	19521	fus	0.00 1592	1		
110	19521	rap	0.78 2572		1	
111	24983	ins	0.00 1444	1		
111	24983	fus	0.00 1696	1		
111	24983	rap	1.28 3024		1	
112	19413	ins	0.00 1416			1
112	19413	fus	0.00 1592			1
112	19413	rap	0.76 2544		1	
113	24529	ins	0.00 1456			1
113	24529	fus	0.00 1620	1		
113	24529	rap	1.22 3008		1	
114	26459	ins	0.00 1432	1		
114	26459	fus	0.00 1700	1		
114	26459	rap	1.42 3128		1	
115	25916	ins	0.00 1400			1
115	25916	fus	0.00 1640	1		
115	25916	rap	1.37 3020		1	
116	6129	ins	0.00 1344	1		
116	6129	fus	0.00 1332	1		
116	6129	rap	0.08 1712		1	
117	8047	fus	0.00 1380	1		
117	8047	ins	0.00 1348			1
117	8047	rap	0.14 1860		1	
118	22687	fus	0.00 1636	1		
118	22687	ins	0.00 1468			1
118	22687	rap	1.05 2824		1	
119	26446	fus	0.00 1596	1		
119	26446	ins	0.00 1432	1		
119	26446	rap	1.44 3112		1	
120	369	ins	0.00 1180	1		
120	369	rap	0.00 1188	1		
120	369	fus	0.00 1240	1		
121	21539	ins	0.00 1356			1
121	21539	fus	0.00 1628	1		
121	21539	rap	0.95 2804		1	
122	27721	ins	0.00 1416			1
122	27721	fus	0.00 1676	1		
122	27721	rap	1.58 3208		1	
123	26379	fus	0.00 1652	1		
123	26379	ins	0.00 1384	1		
123	26379	rap	1.42 3132		1	
124	15017	fus	0.00 1512	1		
124	15017	ins	0.00 1352			1
124	15017	rap	0.46 2332		1	
125	2732	fus	0.00 1280	1		
125	2732	ins	0.00 1200			1
125	2732	rap	0.01 1384		1	
126	30448	fus	0.00 1800	1		
126	30448	ins	0.00 1420	1		
126	30448	rap	1.89 3404		1	
127	17463	fus	0.00 1460			1
127	17463	ins	0.00 1324			1
127	17463	rap	0.63 2424		1	
128	17642	ins	0.00 1392	1		
128	17642	fus	0.00 1520	1		
128	17642	rap	0.64 2440		1	
129	6368	ins	0.00 1248	1		
129	6368	fus	0.00 1280	1		
129	6368	rap	0.08 1620		1	
130	23732	fus	0.00 1656	1		
130	23732	ins	0.00 1440	1		
130	23732	rap	1.16 2952		1	
131	28213	ins	0.00 1476	1		
131	28213	fus	0.00 1688	1		
131	28213	rap	1.64 3268		1	
132	32280	ins	0.00 1536	1		
132	32280	fus	0.00 1784	1		
132	32280	rap	2.14 3452		1	
133	6738	ins	0.00 1232	1		
133	6738	fus	0.00 1396	1		
133	6738	rap	0.09 1720		1	
134	22241	ins	0.00 1304			1
134	22241	fus	0.00 1624			1
134	22241	rap	1.02 2760		1	
135	7336	ins	0.00 1184			1
135	7336	fus	0.00 1296			1
135	7336	rap	0.11 1784		1	
136	294	ins	0.00 1236	1		
136	294	rap	0.00 1200	1		
136	294	fus	0.00 1272	1		
