test	taille	exe	exectime	memory	mmm
253	867000	rap	0.30 8072		1
254	396000	fus	0.08 7448	1	
254	396000	rap	0.10 4368		1
255	667000	fus	0.15 11656	1	
255	667000	rap	0.20 6472		1
256	957000	fus	0.22 16188	1	
256	957000	rap	0.35 8772		1
257	57000	rap	0.00 1624		1
257	57000	fus	0.01 2184	1	
258	119000	rap	0.02 2216	1	
258	119000	fus	0.02 3152	1	
259	138000	fus	0.02 3444	1	
259	138000	rap	0.02 2356		1
260	57000	rap	0.01 1572		1
260	57000	fus	0.01 2172	1	
261	737000	fus	0.16 12800	1	
261	737000	rap	0.24 7024		1
262	372000	fus	0.11 7068	1	
262	372000	rap	0.12 4112		1
263	629000	fus	0.14 11120	1	
263	629000	rap	0.18 6204		1
264	558000	fus	0.13 10000	1	
264	558000	rap	0.16 5648		1
265	898000	fus	0.21 15308	1	
265	898000	rap	0.33 8220		1
266	115000	rap	0.02 2080		1
266	115000	fus	0.02 3112	1	
267	939000	fus	0.22 15916	1	
267	939000	rap	0.34 8524		1
268	763000	fus	0.18 13200	1	
268	763000	rap	0.25 7244		1
269	217000	rap	0.04 2988		1
269	217000	fus	0.04 4700	1	
270	397000	fus	0.08 7460	1	
270	397000	rap	0.10 4328		1
271	738000	fus	0.16 12816	1	
271	738000	rap	0.23 6960		1
272	868000	fus	0.20 14836	1	
272	868000	rap	0.30 7964		1
273	934000	fus	0.22 15780	1	
273	934000	rap	0.34 8588		1
274	118000	rap	0.02 2200		1
274	118000	fus	0.02 3156	1	
275	316000	fus	0.07 6224	1	
275	316000	rap	0.07 3724		1
276	987000	fus	0.23 16700	1	
276	987000	rap	0.37 8892		1
277	190000	rap	0.04 2664		1
277	190000	fus	0.04 4236	1	
278	211000	rap	0.04 2848		1
278	211000	fus	0.04 4608	1	
279	101000	rap	0.01 2024		1
279	101000	fus	0.02 2860	1	
280	706000	fus	0.17 12268	1	
280	706000	rap	0.22 6740		1
281	751000	fus	0.17 12976	1	
281	751000	rap	0.24 7056		1
282	19000	rap	0.00 1328	1	
282	19000	fus	0.00 1576	1	
283	41000	rap	0.00 1448		1
283	41000	fus	0.00 1956	1	
284	206000	rap	0.04 2888		1
284	206000	fus	0.04 4460	1	
285	51000	rap	0.00 1676		1
285	51000	fus	0.00 2036	1	
286	500000	fus	0.11 9048	1	
286	500000	rap	0.14 5092		1
287	427000	fus	0.09 7924	1	
287	427000	rap	0.11 4628		1
288	239000	rap	0.05 3124		1
288	239000	fus	0.05 4976	1	
289	894000	fus	0.21 15252	1	
