test	taille	exe	exectime	memory	mmm
795	935000	rap	0.34 8540		1
796	175000	rap	0.03 2592		
796	175000	fus	0.04 3916	1	
797	275000	fus	0.07 5536	1	
797	275000	rap	0.07 3352	1	
798	634000	fus	0.14 11172	1	
798	634000	rap	0.19 6136		1
799	488000	fus	0.11 8864	1	
799	488000	rap	0.13 5044		1
800	477000	fus	0.11 8740	1	
800	477000	rap	0.13 4908		1
801	843000	fus	0.22 14484	1	
801	843000	rap	0.31 7868		1
802	203000	rap	0.04 2864		1
802	203000	fus	0.04 4356	1	
803	611000	fus	0.14 10816	1	
803	611000	rap	0.18 5976		1
804	476000	fus	0.12 8724	1	
804	476000	rap	0.14 4896		1
805	55000	rap	0.00 1628		1
805	55000	fus	0.01 2168	1	
806	501000	fus	0.11 9104	1	
806	501000	rap	0.13 5092		1
807	285000	fus	0.06 5688	1	
807	285000	rap	0.06 3452		1
808	578000	fus	0.13 10320	1	
808	578000	rap	0.17 5720		1
809	80000	rap	0.01 1904		1
809	80000	fus	0.01 2560	1	
810	456000	fus	0.10 8480	1	
810	456000	rap	0.12 4760		1
811	718000	fus	0.16 12532	1	
811	718000	rap	0.23 6868		1
812	19000	rap	0.00 1324		1
812	19000	fus	0.00 1480	1	
813	322000	rap	0.07 3784		1
813	322000	fus	0.08 6288		1
814	142000	fus	0.03 3496	1	
814	142000	rap	0.03 2336	1	
815	357000	fus	0.07 6868	1	
815	357000	rap	0.09 3916		1
816	313000	fus	0.07 6144		1
816	313000	rap	0.08 3732		1
817	56000	rap	0.00 1564		1
817	56000	fus	0.01 2140	1	
818	851000	fus	0.20 14540	1	
818	851000	rap	0.30 7884		1
819	315000	rap	0.07 3752		1
819	315000	fus	0.07 6212	1	
820	537000	fus	0.14 9744	1	
820	537000	rap	0.16 5492		1
821	637000	fus	0.14 11240	1	
821	637000	rap	0.18 6236		1
822	499000	fus	0.12 8980	1	
822	499000	rap	0.15 5024		1
823	34000	fus	0.00 1844	1	
823	34000	rap	0.00 1464	1	
824	835000	fus	0.20 14332	1	
824	835000	rap	0.29 7752		1
825	168000	rap	0.03 2600	1	
825	168000	fus	0.03 3920	1	
826	921000	fus	0.21 15680	1	
826	921000	rap	0.34 8376		1
827	501000	fus	0.12 9084	1	
827	501000	rap	0.14 5100		1
828	645000	fus	0.16 11256	1	
828	645000	rap	0.22 6168		1
829	735000	fus	0.21 12772	1	
829	735000	rap	0.28 7000		1
830	38000	rap	0.00 1556		1
830	38000	fus	0.00 1848	1	
831	502000	fus	0.12 9100	1	
831	502000	rap	0.15 5052		1
832	860000	fus	0.20 14724	1	
832	860000	rap	0.30 7924		1
833	800000	fus	0.20 13736	1	
833	800000	rap	0.27 7512		1
834	610000	fus	0.15 10772	1	
834	610000	rap	0.18 6024		1
835	713000	fus	0.18 12392	1	
835	713000	rap	0.24 6804		1
836	950000	fus	0.28 16200	1	
836	950000	rap	0.42 8716		1
837	546000	fus	0.12 9820	1	
837	546000	rap	0.16 5528		1
838	683000	fus	0.16 11924	1	
838	683000	rap	0.21 6544		1
839	548000	fus	0.15 9804	1	
839	548000	rap	0.20 5524		1
840	110000	rap	0.02 2060		1
840	110000	fus	0.03 2956	1	
841	232000	fus	0.07 4904	1	
841	232000	rap	0.07 3076		1
842	627000	fus	0.19 11080	1	
842	627000	rap	0.24 6172		1
843	872000	fus	0.22 14860	1	
843	872000	rap	0.32 8020		1
844	411000	fus	0.10 7708		1
844	411000	rap	0.10 4340		1
845	832000	fus	0.20 14320	1	
845	832000	rap	0.30 7756		1
846	557000	fus	0.12 9940	1	
846	557000	rap	0.15 5480		1
847	616000	fus	0.14 10868	1	
847	616000	rap	0.18 6076		1
848	968000	fus	0.24 16364	1	
848	968000	rap	0.37 8796		1
849	478000	fus	0.11 8780	1	
849	478000	rap	0.13 5004		1
850	676000	fus	0.15 11828	1	
850	676000	rap	0.20 6564		1
851	689000	fus	0.16 12056	1	
851	689000	rap	0.22 6568		1
852	528000	fus	0.12 9560	1	
852	528000	rap	0.15 5332		1
853	210000	rap	0.04 2824		1
853	210000	fus	0.04 4520	1	
854	889000	fus	0.21 15212	1	
854	889000	rap	0.33 8208		1
855	609000	fus	0.17 10700	1	
855	609000	rap	0.21 5888		1
856	48000	fus	0.00 2024	1	
856	48000	rap	0.00 1572	1	
857	620000	fus	0.16 11044	1	
857	620000	rap	0.21 6024		1
858	438000	fus	0.11 8096	1	
858	438000	rap	0.13 4704		1
859	439000	fus	0.11 8128	1	
859	439000	rap	0.12 4700		1
860	901000	fus	0.23 15392	1	
860	901000	rap	0.33 8232		1
861	658000	fus	0.18 11536	1	
861	658000	rap	0.22 6332		1
862	824000	fus	0.22 14156	1	
862	824000	rap	0.30 7568		1
863	78000	rap	0.01 1784	1	
863	78000	fus	0.02 2488	1	
864	734000	fus	0.17 12756	1	
864	734000	rap	0.24 6936		1
865	382000	fus	0.08 7204	1	
865	382000	rap	0.09 4248		1
866	231000	rap	0.05 3076		1
866	231000	fus	0.06 4864	1	
867	393000	fus	0.10 7408	1	
867	393000	rap	0.11 4308		1
868	45000	rap	0.00 1624	1	
868	45000	fus	0.00 1988	1	
869	824000	fus	0.20 14052	1	
869	824000	rap	0.30 7668		1
870	994000	fus	0.33 16808	1	
870	994000	rap	0.48 8968		1
871	158000	rap	0.03 2512		1
871	158000	fus	0.04 3756	1	
872	996000	fus	0.23 16880	1	
872	996000	rap	0.37 9024		1
873	242000	fus	0.06 5092	1	
873	242000	rap	0.06 3072		1
874	878000	fus	0.20 15036	1	
874	878000	rap	0.31 8124		1
875	910000	fus	0.22 15456	1	
875	910000	rap	0.33 8316		1
876	898000	fus	0.21 15308	1	
876	898000	rap	0.33 8300		1
877	753000	fus	0.18 13040	1	
877	753000	rap	0.24 7164		1
878	496000	fus	0.11 9068	1	
878	496000	rap	0.13 5072		1
879	465000	fus	0.11 8540	1	
879	465000	rap	0.13 4924		1
880	482000	fus	0.11 8852	1	
880	482000	rap	0.13 4952		1
881	380000	fus	0.08 7220	1	
881	380000	rap	0.09 4240		1
882	243000	rap	0.05 3100	1	
882	243000	fus	0.05 5112	1	
883	801000	fus	0.20 13872	1	
883	801000	rap	0.28 7460		1
884	377000	fus	0.08 7180	1	
884	377000	rap	0.09 4212		1
885	746000	fus	0.17 12844	1	
885	746000	rap	0.24 7032		1
886	882000	fus	0.20 15064	1	
886	882000	rap	0.31 8092		1
887	142000	rap	0.02 2344		1
887	142000	fus	0.03 3508	1	
888	855000	fus	0.21 14668	1	
888	855000	rap	0.31 7880		1
889	900000	fus	0.21 15352	1	
889	900000	rap	0.31 8316		1
890	320000	fus	0.07 6236		1
890	320000	rap	0.07 3776		1
891	25000	rap	0.00 1452	1	
891	25000	fus	0.00 1668	1	
892	122000	rap	0.02 2164		1
892	122000	fus	0.03 3116	1	
893	436000	fus	0.10 8100	1	
893	436000	rap	0.12 4532		1
894	521000	fus	0.12 9400	1	
894	521000	rap	0.15 5344		1
895	596000	fus	0.14 10600	1	
895	596000	rap	0.17 5948		1
896	221000	rap	0.05 2952		1
896	221000	fus	0.06 4768	1	
897	934000	fus	0.22 15880	1	
897	934000	rap	0.34 8520		1
898	376000	fus	0.10 7112	1	
898	376000	rap	0.10 4160		1
899	862000	fus	0.20 14704	1	
899	862000	rap	0.32 7924		1
900	232000	fus	0.04 4936	1	
900	232000	rap	0.06 3096		1
901	600000	fus	0.15 10608	1	
901	600000	rap	0.17 5924		1
902	222000	rap	0.04 2912	1	
902	222000	fus	0.04 4700	1	
903	442000	fus	0.10 8164	1	
903	442000	rap	0.12 4656		1
904	979000	fus	0.23 16540	1	
904	979000	rap	0.37 8856		1
905	122000	fus	0.03 3160		1
905	122000	rap	0.02 2156		1
906	30000	rap	0.00 1460	1	
906	30000	fus	0.00 1736	1	
907	648000	fus	0.22 11416	1	
907	648000	rap	0.27 6264		1
908	532000	fus	0.12 9668	1	
908	532000	rap	0.15 5440		1
909	982000	fus	0.22 16604	1	
909	982000	rap	0.37 8912		1
910	200000	fus	0.04 4308		1
910	200000	rap	0.04 2844		1
911	162000	rap	0.03 2516		1
911	162000	fus	0.03 3812	1	
912	655000	fus	0.16 11512	1	
912	655000	rap	0.20 6376		1
913	63000	rap	0.00 1696		1
913	63000	fus	0.01 2260	1	
914	23000	rap	0.00 1364	1	
914	23000	fus	0.00 1624	1	
915	921000	fus	0.21 15668	1	
915	921000	rap	0.33 8456		1
916	212000	fus	0.04 4604		1
916	212000	rap	0.04 2856		1
917	155000	rap	0.04 2448		1
917	155000	fus	0.04 3708	1	
918	218000	rap	0.04 2928	1	
918	218000	fus	0.05 4688	1	
919	154000	rap	0.03 2464		1
919	154000	fus	0.04 3648	1	
920	948000	fus	0.23 16124	1	
920	948000	rap	0.35 8700		1
921	397000	fus	0.13 7520	1	
921	397000	rap	0.14 4388		1
922	100000	rap	0.02 2076		1
922	100000	fus	0.02 2840	1	
923	310000	rap	0.09 3616		1
923	310000	fus	0.09 6080		1
924	89000	rap	0.01 1872		1
924	89000	fus	0.02 2632	1	
925	894000	fus	0.21 15284	1	
925	894000	rap	0.34 8268		1
926	204000	rap	0.04 2844		1
926	204000	fus	0.04 4460	1	
927	620000	fus	0.15 10952	1	
927	620000	rap	0.19 6044		1
928	307000	fus	0.07 6072		1
928	307000	rap	0.07 3580		1
929	432000	fus	0.10 8028	1	
929	432000	rap	0.12 4556		1
930	53000	rap	0.00 1648	1	
930	53000	fus	0.01 2088	1	
931	172000	rap	0.04 2576		1
931	172000	fus	0.04 3988	1	
932	259000	rap	0.05 3248	1	
932	259000	fus	0.04 5336	1	
933	6000	fus	0.00 1440	1	
933	6000	rap	0.00 1240	1	
934	128000	rap	0.02 2184		1
934	128000	fus	0.02 3260	1	
935	834000	fus	0.20 14316	1	
935	834000	rap	0.29 7700		1
936	860000	fus	0.21 14716	1	
936	860000	rap	0.30 8008		1
937	238000	rap	0.06 3040		1
937	238000	fus	0.06 4964		1
938	542000	fus	0.13 9756	1	
938	542000	rap	0.16 5500		1
939	550000	fus	0.13 9836	1	
939	550000	rap	0.16 5556		1
940	308000	fus	0.06 6080		1
940	308000	rap	0.07 3660		1
941	408000	fus	0.08 7648	1	
941	408000	rap	0.11 4444		1
942	834000	fus	0.20 14324	1	
942	834000	rap	0.29 7772		1
943	485000	fus	0.12 8764	1	
943	485000	rap	0.14 5060		1
944	640000	fus	0.14 11184	1	
944	640000	rap	0.20 6236		1
945	548000	fus	0.13 9820	1	
945	548000	rap	0.16 5540		1
946	75000	rap	0.01 1820		1
946	75000	fus	0.01 2460	1	
947	481000	fus	0.11 8700	1	
947	481000	rap	0.13 5048		1
948	917000	fus	0.22 15564	1	
948	917000	rap	0.37 8452		1
949	13000	rap	0.00 1380		1
949	13000	fus	0.00 1520		1
950	525000	fus	0.13 9464	1	
950	525000	rap	0.16 5308		1
951	495000	fus	0.11 8976	1	
951	495000	rap	0.14 5092		1
952	49000	rap	0.00 1608		1
952	49000	fus	0.00 2020	1	
953	402000	fus	0.08 7528	1	
953	402000	rap	0.10 4328		1
954	55000	rap	0.01 1684		1
954	55000	fus	0.01 2148	1	
955	560000	fus	0.17 10060	1	
955	560000	rap	0.20 5612		1
956	88000	rap	0.02 1972		1
956	88000	fus	0.02 2728	1	
957	0	rap	0.00 1260		1
957	0	fus	0.00 1268		1
958	748000	fus	0.17 12928	1	
958	748000	rap	0.24 7132		1
959	727000	fus	0.16 12624	1	
959	727000	rap	0.22 6916		1
960	431000	fus	0.10 8012	1	
960	431000	rap	0.11 4636		1
961	959000	fus	0.22 16268	1	
961	959000	rap	0.35 8776		1
962	904000	fus	0.21 15480	1	
962	904000	rap	0.32 8248		1
963	543000	fus	0.13 9760	1	
963	543000	rap	0.16 5524		1
964	583000	fus	0.14 10376	1	
964	583000	rap	0.17 5848		1
965	498000	fus	0.11 9068	1	
965	498000	rap	0.13 5188		1
966	393000	fus	0.08 7496	1	
966	393000	rap	0.10 4304		1
967	716000	fus	0.17 12428	1	
967	716000	rap	0.22 6824		1
968	2000	fus	0.00 1340	1	
968	2000	rap	0.00 1140	1	
969	697000	fus	0.16 12136	1	
969	697000	rap	0.22 6704		1
970	606000	fus	0.15 10784	1	
970	606000	rap	0.19 5936		1
971	719000	fus	0.16 12520	1	
971	719000	rap	0.23 6808		1
972	739000	fus	0.17 12832	1	
972	739000	rap	0.24 7036		1
973	924000	fus	0.21 15748	1	
973	924000	rap	0.33 8460		1
974	870000	fus	0.20 14876	1	
974	870000	rap	0.30 7932		1
975	810000	fus	0.20 13936	1	
975	810000	rap	0.28 7604		1
976	366000	fus	0.07 6976	1	
976	366000	rap	0.09 4140		1
977	586000	fus	0.13 10444	1	
977	586000	rap	0.17 5764		1
978	975000	fus	0.22 16556	1	
978	975000	rap	0.36 8884		1
979	477000	fus	0.11 8728	1	
979	477000	rap	0.12 4964		1
980	97000	rap	0.01 1944		1
980	97000	fus	0.02 2752	1	
981	515000	fus	0.11 9304	1	
981	515000	rap	0.14 5148		1
982	874000	fus	0.20 14968	1	
982	874000	rap	0.30 8100		1
983	630000	fus	0.15 11076	1	
983	630000	rap	0.19 6212		1
984	57000	rap	0.00 1732		1
984	57000	fus	0.01 2132	1	
985	799000	fus	0.18 13764	1	
985	799000	rap	0.28 7428		1
986	670000	fus	0.15 11788	1	
986	670000	rap	0.20 6420		1
987	66000	rap	0.01 1792		1
987	66000	fus	0.01 2268	1	
988	688000	fus	0.17 12028	1	
988	688000	rap	0.22 6580		1
989	408000	fus	0.11 7616	1	
989	408000	rap	0.14 4392		1
990	820000	fus	0.19 14084	1	
990	820000	rap	0.28 7592		1
991	971000	fus	0.33 16356	1	
991	971000	rap	0.47 8876		1
992	239000	rap	0.04 3064	1	
992	239000	fus	0.05 4988	1	
993	483000	fus	0.11 8860	1	
993	483000	rap	0.13 5044		1
994	789000	fus	0.24 13604	1	
994	789000	rap	0.31 7348		1
995	958000	fus	0.23 16216	1	
995	958000	rap	0.36 8764		1
996	139000	rap	0.02 2336		1
996	139000	fus	0.02 3408	1	
997	976000	fus	0.24 16572	1	
997	976000	rap	0.40 8924		1
998	910000	fus	0.22 15404	1	
998	910000	rap	0.34 8320		1
999	79000	rap	0.01 1804		1
999	79000	fus	0.01 2476	1	
1000	420000	fus	0.10 7744	1	
1000	420000	rap	0.11 4508		1
