test	taille	exe	exectime	memory	mmm
80	10868	rap	0.00 1212	1		
80	10868	fus	0.00 1448	1		
80	10868	ins	0.09 1380			1
81	22589	fus	0.00 1712		1	
81	22589	rap	0.00 1476		1	
81	22589	ins	0.38 1356			1
82	18512	rap	0.00 1376	1		
82	18512	fus	0.00 1560	1		
82	18512	ins	0.26 1344			1
83	1755	fus	0.00 1264			1
83	1755	rap	0.00 1260			1
83	1755	ins	0.00 1136			1
84	20175	rap	0.00 1444	1		
84	20175	fus	0.00 1640	1		
84	20175	ins	0.30 1336			1
85	7439	rap	0.00 1236	1		
85	7439	fus	0.00 1428	1		
85	7439	ins	0.04 1232			1
86	912	fus	0.00 1252			1
86	912	rap	0.00 1304			1
86	912	ins	0.00 1260			1
87	5078	fus	0.00 1356	1		
87	5078	rap	0.00 1292	1		
87	5078	ins	0.02 1296			1
88	23436	rap	0.00 1308		1	
88	23436	fus	0.00 1676		1	
88	23436	ins	0.40 1312			1
89	30250	fus	0.00 1728	1		
89	30250	rap	0.00 1504	1		
89	30250	ins	0.68 1368			1
90	25251	rap	0.00 1328		1	
90	25251	fus	0.00 1688	1		
90	25251	ins	0.46 1396			1
91	15569	fus	0.00 1516	1		
91	15569	rap	0.00 1348	1		
91	15569	ins	0.20 1348			1
92	28746	rap	0.00 1424		1	
92	28746	fus	0.00 1740		1	
92	28746	ins	0.62 1432			1
93	4976	fus	0.00 1392	1		
93	4976	rap	0.00 1272		1	
93	4976	ins	0.02 1296			1
94	20861	rap	0.00 1444	1		
94	20861	fus	0.00 1612	1		
94	20861	ins	0.32 1360			1
95	8326	fus	0.00 1368	1		
95	8326	rap	0.00 1192	1		
95	8326	ins	0.05 1328			1
96	27309	rap	0.00 1416		1	
96	27309	fus	0.00 1744	1		
96	27309	ins	0.58 1444			1
97	4195	rap	0.00 1208		1	
97	4195	fus	0.00 1360		1	
97	4195	ins	0.01 1216			1
98	4965	fus	0.00 1432	1		
98	4965	rap	0.00 1332	1		
98	4965	ins	0.02 1300			1
99	2655	rap	0.00 1216	1		
99	2655	fus	0.00 1272	1		
99	2655	ins	0.00 1308			1
100	7681	rap	0.00 1348		1	
100	7681	fus	0.00 1396		1	
100	7681	ins	0.04 1256			1
101	3480	fus	0.00 1336	1		
101	3480	rap	0.00 1320	1		
101	3480	ins	0.01 1284			1
102	3976	rap	0.00 1160	1		
102	3976	fus	0.00 1352	1		
102	3976	ins	0.01 1288			1
103	19618	rap	0.00 1420	1		
103	19618	fus	0.00 1620	1		
103	19618	ins	0.28 1436			1
104	12121	rap	0.00 1352	1		
104	12121	fus	0.00 1372	1		
104	12121	ins	0.11 1372			1
105	9315	fus	0.00 1412		1	
105	9315	rap	0.00 1340		1	
105	9315	ins	0.06 1328			1
106	7696	rap	0.00 1332		1	
106	7696	fus	0.00 1388		1	
106	7696	ins	0.04 1332			1
107	26627	fus	0.00 1688	1		
107	26627	rap	0.00 1504		1	
107	26627	ins	0.52 1492			1
108	9950	fus	0.00 1436	1		
108	9950	rap	0.00 1340	1		
108	9950	ins	0.08 1248			1
109	24107	rap	0.00 1368	1		
109	24107	fus	0.00 1612	1		
109	24107	ins	0.42 1488			1
110	30692	rap	0.00 1524	1		
110	30692	fus	0.00 1756	1		
110	30692	ins	0.68 1504			1
111	21862	rap	0.00 1424	1		
111	21862	fus	0.00 1624	1		
111	21862	ins	0.35 1460			1
112	18282	fus	0.00 1540	1		
112	18282	rap	0.00 1272		1	
112	18282	ins	0.25 1424			1
113	6153	fus	0.00 1328	1		
113	6153	rap	0.00 1344	1		
113	6153	ins	0.03 1228			1
114	11323	rap	0.00 1360	1		
114	11323	fus	0.00 1532	1		
114	11323	ins	0.09 1288			1
115	27798	rap	0.00 1348		1	
115	27798	fus	0.00 1748	1		
115	27798	ins	0.56 1508			1
116	1829	rap	0.00 1296	1		
116	1829	fus	0.00 1316			1
116	1829	ins	0.00 1192			1
117	8989	fus	0.00 1392		1	
117	8989	rap	0.00 1244		1	
117	8989	ins	0.06 1340			1
118	24825	rap	0.00 1376	1		
118	24825	fus	0.00 1660	1		
118	24825	ins	0.45 1448			1
119	137	ins	0.00 1256		1	
119	137	rap	0.00 1228		1	
119	137	fus	0.00 1272		1	
120	14125	fus	0.00 1504	1		
120	14125	rap	0.00 1284	1		
120	14125	ins	0.14 1332			1
121	28280	fus	0.00 1700		1	
121	28280	rap	0.00 1500		1	
121	28280	ins	0.59 1496			1
122	13615	fus	0.00 1448	1		
122	13615	rap	0.00 1284	1		
122	13615	ins	0.14 1296			1
123	8755	rap	0.00 1304	1		
123	8755	fus	0.00 1444	1		
123	8755	ins	0.05 1356			1
124	30242	rap	0.00 1476	1		
124	30242	fus	0.00 1784	1		
124	30242	ins	0.67 1468			1
125	16698	rap	0.00 1400	1		
125	16698	fus	0.00 1496	1		
125	16698	ins	0.20 1400			1
126	29826	rap	0.00 1524	1		
126	29826	fus	0.00 1740	1		
126	29826	ins	0.65 1524			1
127	11797	fus	0.00 1372	1		
127	11797	rap	0.00 1320		1	
127	11797	ins	0.10 1356			1
128	7058	rap	0.00 1248	1		
128	7058	fus	0.00 1388	1		
128	7058	ins	0.03 1240			1
129	10130	fus	0.00 1344	1		
129	10130	rap	0.00 1280		1	
129	10130	ins	0.08 1332			1
130	29351	fus	0.00 1748	1		
130	29351	rap	0.00 1416		1	
130	29351	ins	0.65 1496			1
131	26722	fus	0.00 1652	1		
131	26722	rap	0.00 1412		1	
131	26722	ins	0.52 1468			1
132	11230	fus	0.00 1456	1		
132	11230	rap	0.00 1340	1		
132	11230	ins	0.09 1384			1
133	11044	rap	0.00 1284	1		
133	11044	fus	0.00 1460	1		
133	11044	ins	0.09 1268			1
134	31001	rap	0.00 1428		1	
134	31001	fus	0.00 1672	1		
134	31001	ins	0.69 1444			1
135	32108	fus	0.00 1824	1		
135	32108	rap	0.00 1448		1	
135	32108	ins	0.76 1548			1
136	17602	fus	0.00 1564		1	
136	17602	rap	0.00 1392		1	
136	17602	ins	0.23 1268			1
137	16952	rap	0.00 1264	1		
137	16952	fus	0.00 1544	1		
137	16952	ins	0.21 1424			1
138	4072	fus	0.00 1340		1	
138	4072	rap	0.00 1284		1	
138	4072	ins	0.01 1212			1
139	21753	rap	0.00 1368	1		
139	21753	fus	0.00 1612	1		
