test	taille	exe	exectime	memory	mmm
94	59000	rap	0.01 1732		1	
94	59000	fus	0.01 2212		1	
94	59000	ins	2.51 1664			1
95	33000	rap	0.00 1540		1	
95	33000	fus	0.00 1772		1	
95	33000	ins	0.78 1384			1
96	42000	fus	0.00 1920	1		
96	42000	rap	0.00 1588		1	
96	42000	ins	1.26 1456			1
97	45000	rap	0.00 1600	1		
97	45000	fus	0.01 1944	1		
97	45000	ins	1.46 1532			1
98	28000	rap	0.00 1444	1		
98	28000	fus	0.00 1720	1		
98	28000	ins	0.56 1416			1
99	20000	rap	0.00 1444	1		
99	20000	fus	0.00 1548	1		
99	20000	ins	0.29 1416			1
100	0	rap	0.00 1124			1
100	0	ins	0.00 1256			1
100	0	fus	0.00 1180			1
101	52000	rap	0.00 1692		1	
101	52000	fus	0.01 2048	1		
101	52000	ins	1.95 1588			1
102	51000	fus	0.01 1980	1		
102	51000	rap	0.01 1652		1	
102	51000	ins	1.86 1680			1
103	56000	rap	0.00 1720		1	
103	56000	fus	0.01 2188	1		
103	56000	ins	2.26 1560			1
104	33000	rap	0.00 1532		1	
104	33000	fus	0.00 1676	1		
104	33000	ins	0.78 1516			1
105	9000	fus	0.00 1428		1	
105	9000	rap	0.00 1328		1	
105	9000	ins	0.06 1320			1
106	20000	fus	0.00 1560		1	
106	20000	rap	0.00 1440		1	
106	20000	ins	0.28 1392			1
107	55000	rap	0.00 1688		1	
107	55000	fus	0.01 2144	1		
107	55000	ins	2.16 1664			1
108	11000	fus	0.00 1444	1		
108	11000	rap	0.00 1368	1		
108	11000	ins	0.08 1276			1
109	0	rap	0.00 1184		1	
109	0	fus	0.00 1288		1	
109	0	ins	0.00 1232		1	
110	54000	fus	0.01 2108	1		
110	54000	rap	0.01 1716		1	
110	54000	ins	2.08 1616			1
111	43000	rap	0.00 1508	1		
111	43000	fus	0.00 1984	1		
111	43000	ins	1.32 1556			1
112	13000	rap	0.00 1392	1		
112	13000	fus	0.00 1484	1		
112	13000	ins	0.12 1332			1
113	59000	rap	0.01 1692		1	
113	59000	fus	0.01 2232	1		
113	59000	ins	2.49 1660			1
114	26000	rap	0.00 1384	1		
114	26000	fus	0.00 1588	1		
114	26000	ins	0.48 1380			1
115	13000	fus	0.00 1460	1		
115	13000	rap	0.00 1324		1	
115	13000	ins	0.12 1368			1
116	55000	rap	0.00 1624		1	
116	55000	fus	0.01 2148	1		
116	55000	ins	2.16 1608			1
117	42000	rap	0.00 1600	1		
117	42000	fus	0.00 1896	1		
117	42000	ins	1.27 1508			1
118	22000	rap	0.00 1428	1		
118	22000	fus	0.00 1584	1		
118	22000	ins	0.35 1348			1
119	25000	rap	0.00 1476	1		
119	25000	fus	0.00 1632	1		
119	25000	ins	0.45 1488			1
120	28000	fus	0.00 1696		1	
120	28000	rap	0.00 1496		1	
120	28000	ins	0.56 1340			1
121	31000	fus	0.00 1772	1		
121	31000	rap	0.00 1468		1	
121	31000	ins	0.69 1520			1
122	55000	rap	0.01 1616		1	
122	55000	fus	0.01 2136	1		
122	55000	ins	2.17 1708			1
123	24000	fus	0.00 1640		1	
123	24000	rap	0.00 1440		1	
